atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
HD3,OXO0,4.11E-02,2.45E-02,7.42E-02,8.06E-02,2.78E-02,1.04E-01,7.76E-02,9.86E-02,9.37E-02,8.00E-02,0.0702606
CA1,OXO0,1.46E+00,1.48E+00,1.43E+00,1.49E+00,1.49E+00,1.46E+00,1.51E+00,1.50E+00,1.48E+00,1.53E+00,1.483715
OA1,OXO0,-1.11E+00,-1.07E+00,-1.11E+00,-1.11E+00,-1.09E+00,-1.10E+00,-1.10E+00,-1.13E+00,-1.12E+00,-1.13E+00,-1.1073358
OA2,OXO0,-1.03E+00,-1.08E+00,-1.04E+00,-1.02E+00,-1.05E+00,-1.04E+00,-1.05E+00,-1.02E+00,-1.03E+00,-1.07E+00,-1.0418295
CA2,OXO0,5.28E-01,4.98E-01,5.19E-01,5.25E-01,4.62E-01,5.21E-01,5.22E-01,5.13E-01,5.12E-01,5.37E-01,0.51352456
CA3,OXO0,3.81E-01,3.92E-01,3.74E-01,3.62E-01,4.21E-01,3.75E-01,3.55E-01,3.94E-01,3.89E-01,3.64E-01,0.38052267
NA1,OXO0,-1.07E+00,-1.10E+00,-1.11E+00,-1.06E+00,-1.12E+00,-1.06E+00,-1.06E+00,-1.06E+00,-1.08E+00,-1.07E+00,-1.079599
HA1,OXO0,3.40E-01,4.04E-01,4.04E-01,3.74E-01,4.00E-01,3.81E-01,3.85E-01,3.43E-01,3.91E-01,4.01E-01,0.382127
HA2,OXO0,3.90E-01,3.84E-01,3.88E-01,3.64E-01,3.92E-01,3.51E-01,3.67E-01,3.66E-01,3.47E-01,3.56E-01,0.370502
CB1,OXO0,1.50E+00,1.48E+00,1.46E+00,1.44E+00,1.47E+00,1.53E+00,1.48E+00,1.50E+00,1.45E+00,1.46E+00,1.4774572
OB1,OXO0,-1.10E+00,-1.10E+00,-1.09E+00,-1.08E+00,-1.05E+00,-1.11E+00,-1.11E+00,-1.10E+00,-1.10E+00,-1.12E+00,-1.0993598
OB2,OXO0,-1.05E+00,-1.05E+00,-1.03E+00,-1.05E+00,-1.09E+00,-1.05E+00,-1.02E+00,-1.04E+00,-1.04E+00,-1.04E+00,-1.047257
CB2,OXO0,5.28E-01,5.37E-01,5.08E-01,5.39E-01,5.37E-01,5.24E-01,4.81E-01,5.33E-01,4.44E-01,5.08E-01,0.51383716
CB3,OXO0,3.20E-01,3.60E-01,3.54E-01,3.67E-01,3.74E-01,3.82E-01,4.09E-01,3.58E-01,4.43E-01,3.72E-01,0.37401889
NB1,OXO0,-1.08E+00,-1.11E+00,-1.09E+00,-1.13E+00,-1.07E+00,-1.12E+00,-1.14E+00,-1.12E+00,-1.14E+00,-1.10E+00,-1.1103332
HB1,OXO0,3.72E-01,3.81E-01,3.90E-01,4.12E-01,3.57E-01,3.83E-01,3.99E-01,4.23E-01,3.43E-01,3.95E-01,0.3854691
HB2,OXO0,4.05E-01,4.05E-01,4.01E-01,3.84E-01,3.95E-01,3.99E-01,4.13E-01,3.75E-01,4.65E-01,3.96E-01,0.4039652
CD6,OXO0,-8.11E-03,-1.08E-02,-1.07E-01,-1.21E-01,-1.50E-01,-1.14E-01,-7.34E-02,-1.62E-01,-1.91E-01,-1.61E-01,-0.1099556
HD4,OXO0,3.86E-02,7.97E-02,6.92E-02,5.47E-02,7.57E-02,6.06E-02,7.27E-02,8.23E-02,4.03E-02,8.29E-02,0.0656526
CC1,terA,6.13E-03,-3.61E-02,-5.00E-02,-1.88E-01,-2.81E-03,-1.09E-01,-1.62E-01,-9.98E-03,-7.11E-02,-1.50E-01,-0.0772343
HC1,terA,7.37E-02,2.96E-02,6.66E-02,8.00E-02,4.40E-02,8.27E-02,5.11E-02,6.49E-02,7.84E-02,8.05E-02,0.0651532
CC2,terA,-5.23E-02,3.70E-02,-3.85E-02,-9.95E-03,3.72E-02,-8.20E-02,-1.37E-02,-5.02E-02,-5.41E-03,4.39E-02,-0.013395
CC3,terA,-9.85E-02,-8.51E-02,-3.42E-02,5.98E-02,-1.19E-01,-6.25E-02,-4.43E-03,-2.08E-02,-7.56E-02,-5.83E-02,-0.049831
HC2,terA,7.77E-02,6.00E-02,8.15E-02,2.15E-02,6.95E-02,5.01E-02,2.75E-02,4.13E-02,6.90E-02,4.12E-02,0.0539411
CC4,terA,1.42E-03,-7.33E-03,-9.46E-02,-7.04E-02,-1.01E-01,-1.03E-02,-6.12E-02,-2.75E-02,-7.52E-02,-8.03E-02,-0.0526474
HC3,terA,6.57E-02,5.01E-02,1.06E-01,3.52E-02,1.21E-01,6.45E-02,4.00E-02,6.10E-02,4.14E-02,1.15E-01,0.0700384
CC5,terA,-5.98E-02,-9.43E-02,-8.03E-02,-1.05E-01,-1.16E-01,-4.65E-02,-1.83E-02,-7.34E-02,2.63E-03,-5.42E-02,-0.0644937
HC4,terA,5.53E-02,6.59E-02,9.87E-02,6.58E-02,8.89E-02,8.63E-02,5.44E-02,6.67E-02,4.98E-02,7.42E-02,0.0706078
CC6,terA,-5.70E-02,-1.00E-01,-1.32E-01,6.36E-02,2.34E-02,-8.56E-03,-1.48E-01,-5.14E-02,-9.72E-02,-1.44E-02,-0.0521684
HC5,terA,1.91E-02,1.13E-01,7.47E-02,6.50E-02,5.00E-02,6.53E-03,4.40E-02,5.63E-02,7.63E-02,4.54E-02,0.0550707
CC7,terA,-1.26E-02,-8.79E-02,-4.39E-03,-1.26E-01,-5.47E-02,-1.04E-01,3.30E-02,-8.09E-02,-1.55E-02,-2.12E-01,-0.0665531
HC6,terA,4.38E-02,6.95E-02,2.87E-02,2.48E-02,7.32E-03,9.54E-02,6.53E-02,5.40E-02,3.23E-02,1.11E-01,0.0532357
CD1,terA,-1.05E-01,-5.92E-02,-3.63E-02,-2.44E-02,-3.20E-02,-6.55E-03,-1.22E-01,2.00E-02,3.69E-02,1.27E-02,-0.0315043
HD1,terA,9.28E-02,1.94E-02,9.47E-02,5.14E-02,7.23E-02,8.08E-02,6.83E-02,6.26E-02,8.19E-02,3.95E-02,0.0663678
CD2,terA,4.56E-01,3.75E-01,4.69E-01,4.50E-01,4.40E-01,4.67E-01,4.31E-01,3.95E-01,3.87E-01,4.67E-01,0.4337936
HD2,terA,8.95E-02,1.14E-01,6.71E-02,9.90E-02,1.32E-01,5.59E-02,1.10E-01,1.35E-01,1.24E-01,5.93E-02,0.0985697
